longitude,latitude,country_GISAID,country,iso3c,iso3166_2,continent
66.00473115,33.83523216,,Afghanistan,AFG,,Asia
19.95324636,60.21490035,,Aland,ALA,,Europe
20.04983034,41.14245128,,Albania,ALB,,Europe
2.61732102,28.15893844,,Algeria,DZA,,Africa
-170.7180186,-14.30448922,,American Samoa,ASM,AS,Oceania
1.56053368,42.54229174,,Andorra,AND,,Europe
17.53736149,-12.29336112,,Angola,AGO,,Africa
-63.06498464,18.22396692,,Anguilla,AIA,,North America
19.92113271,-80.50856414,,Antarctica,ATA,,Antarctica
-61.7946956,17.27754256,Antigua and Barbuda,Antigua & Barbuda,ATG,,North America
-65.17980881,-35.38135347,,Argentina,ARG,,South America
44.9299343,40.28952206,,Armenia,ARM,,Asia
-69.98267466,12.52088881,,Aruba,ABW,,North America
123.5838304,-12.42994255,,Ashmore and Cartier Islands,AQ,,Oceania
134.4909988,-25.73288736,,Australia,AUS,,Oceania
14.12647809,47.58549847,,Austria,AUT,,Europe
47.54599646,40.28827674,,Azerbaijan,AZE,,Asia
50.54197759,26.04200845,,Bahrain,BHR,,Asia
90.23812793,23.86730412,,Bangladesh,BGD,,Asia
-59.55980198,13.18145371,,Barbados,BRB,,North America
28.03208711,53.53131155,,Belarus,BLR,,Europe
4.64064572,50.63981435,,Belgium,BEL,,Europe
-88.71010228,17.20027475,,Belize,BLZ,,North America
2.32784527,9.6417533,,Benin,BEN,,Africa
-64.75454185,32.31368594,,Bermuda,BMU,,North America
90.401895,27.4110619,,Bhutan,BTN,,Asia
-64.6853892,-16.70814536,,Bolivia,BOL,,South America
-68.262383,12.20189,Bonaire,Caribbean Netherlands,BES,,North America
17.76876588,44.17449912,Bosnia and Herzegovina,Bosnia & Herzegovina,BIH,,Europe
23.7985373,-22.18402031,,Botswana,BWA,,Africa
-53.09783199,-10.78777567,,Brazil,BRA,,South America
72.44540239,-7.33058251,,British Indian Ocean Territory,IOT,,Africa
-64.47140241,18.52593375,,British Virgin Islands,VGB,,North America
114.7220255,4.51968241,,Brunei,BRN,,Asia
25.21552327,42.76889988,,Bulgaria,BGR,,Europe
-1.7545684,12.26953681,,Burkina Faso,BFA,,Africa
29.8751201,-3.35939257,,Burundi,BDI,,Africa
-23.95990969,15.95518822,Cabo Verde,Cape Verde,CPV,,Africa
104.9069431,12.72004932,,Cambodia,KHM,,Asia
12.73964266,5.69110296,,Cameroon,CMR,,Africa
-98.30775723,61.36206827,,Canada,CAN,,North America
-16.629129,28.291565,Canary Islands,Spain,ES,,Europe
-23.95990969,15.95518822,,Cape Verde,CPV,,Africa
-68.238534,12.178361,,Caribbean Netherlands,BES,,North America
-80.91213058,19.42896455,,Cayman Islands,CYM,,North America
20.46826364,6.56823003,,Central African Republic,CAF,,Africa
18.64493211,15.33333336,,Chad,TCD,,Africa
-71.38255879,-37.73069754,,Chile,CHL,,South America
103.8190739,36.56176801,,China,CHN,,Asia
-73.08114936,3.91383156,,Colombia,COL,,South America
43.68238096,-11.87777573,,Comoros,COM,,Africa
-159.7872415,-21.21926813,,Cook Islands,COK,,Oceania
-84.19208786,9.9763424,,Costa Rica,CRI,,North America
-5.56921598,7.62842868,Cote d'Ivoire,Côte d’Ivoire,CIV,,Africa
34.109547,44.957813,Crimea,Ukraine,NA,,Europe
16.40413079,45.08047284,,Croatia,HRV,,Europe
-79.01606913,21.62290023,,Cuba,CUB,,North America
-68.9712225,12.19552443,Curacao,Curaçao,CUW,,North America
33.00600358,34.91666932,,Cyprus,CYP,,Europe
15.31240065,49.73341073,Czech Republic,Czechia,CZE,,Europe
23.64395637,-2.87746013,Democratic Republic of the Congo,Congo - Kinshasa,COD,,Africa
10.02799418,55.98126391,,Denmark,DNK,,Europe
42.56067681,11.74872052,,Djibouti,DJI,,Africa
-61.35773122,15.43947211,,Dominica,DMA,,North America
-70.50569086,18.8943308,,Dominican Republic,DOM,,North America
125.8443864,-8.8288854,,East Timor,TLS,,Asia
-78.75203573,-1.42381949,,Ecuador,ECU,,South America
29.8618993,26.49593108,,Egypt,EGY,,Africa
-88.87164456,13.73944008,,El Salvador,SLV,,North America
-1.1743197,52.3555177,,England,NA,,Europe
10.34138898,1.70554042,,Equatorial Guinea,GNQ,,Africa
38.84615444,15.36186881,,Eritrea,ERI,,Africa
25.54248555,58.67192416,,Estonia,EST,,Europe
31.465866,-26.522503,,Eswatini,SWZ,,Africa
39.6008014,8.62278417,,Ethiopia,ETH,,Africa
-59.35240055,-51.7448299,,Falkland Islands,FLK,,South America
-6.88096322,62.05386227,,Faroe Islands,FRO,,Europe
153.2370612,7.4528106,,Federated States of Micronesia,FSM,,Oceania
165.4505548,-17.4285609,,Fiji,FJI,,Oceania
26.27467024,64.49884844,,Finland,FIN,,Europe
2.53618475,46.18700581,,France,FRA,,Europe
-53.2484462,3.92595718,,French Guiana,GUF,,South America
-144.9048876,-14.72228068,,French Polynesia,PYF,,Oceania
69.22673416,-49.24895992,,French Southern and Antarctic Lands,ATF,,Antarctica
11.78863005,-0.58660329,,Gabon,GAB,,Africa
-15.39601809,13.44965377,,Gambia,GMB,,Africa
34.34757119,31.39150353,,Gaza,PSE,,Asia
43.50778995,42.16855944,,Georgia,GEO,,Asia
10.38577693,51.10697903,,Germany,DEU,,Europe
-1.21676901,7.95345124,,Ghana,GHA,,Africa
-5.35257,36.14474,,Gibraltar,GIB,,Europe
22.95556207,39.07466973,,Greece,GRC,,Europe
-41.34191035,74.71051369,,Greenland,GRL,,North America
-61.68219415,12.1172555,,Grenada,GRD,,North America
-61.551,16.265,,Guadeloupe,GLP,,North America
144.7679224,13.4416655,,Guam,GUM,,Oceania
-90.36482288,15.69404158,,Guatemala,GTM,,North America
-2.57240158,49.46809855,,Guernsey,GGY,,Europe
-10.94066379,10.43621595,,Guinea,GIN,,Africa
-14.94972941,12.04744454,,Guinea Bissau,GNB,,Africa
-14.94972941,12.04744454,,Guinea-Bissau,GNB,,Africa
